batch,handle,platform,name,niche,followers_approx,followers_observed,followers_source,profile_url,discovery_source,identity_check,identity_method,content_fit,content_fit_evidence,reach_floor,engagement_observed,activity_check,purchase_intent,exclusions_check,decision,notes,check_date,selector
5,@kristinacors,tiktok,Kristina Cors,nyc-travel,755.2K,755.2K followers,urlebird.com profile mirror (fetched 2026-09-16),https://www.tiktok.com/@kristinacors,web search + urlebird profile mirror 2026-09-16,pass,urlebird profile mirror shows display name 'Travel Hacks - Kristina Cors' and bio 'Travel Content Creator / Latina / NYC Travel Hacks & Tips'; third-party press (realshepower/Forbes) identifies 'NYC-based travel content creator Kristina Corniel (@kristinacors)'. Live TikTok profile open delegated to parent.,pass,"Sells a mapped 7-Day NYC Itinerary (TikTok video 7620248311236152606: 'I've created a mapped 7 day NYC itinerary with 4 spots per day, along with walking/driving times. Shop my 7 Day NYC Itinerary (link in bio)').",pass,"18.3M total likes; video 1 month ago: 95.44K views / 7.12K likes / 36 comments; videos 2-5 days ago: 2.9K-11K views (urlebird, 2026-09-16)",pass,present,pass,include,NYC-based individual. Purchase intent present (itinerary sold via TikTok Shop/link in bio). Live TikTok profile identity/activity confirmation pending parent check.,2026-09-16,batch5-worker
5,@travelingwithtals,tiktok,Tals,solo-travel,526.9K,"526.9K followers, 30.7M likes",tiktok.com search-result snippet (observed 2026-09-16),https://www.tiktok.com/@travelingwithtals,web search + urlebird profile mirror 2026-09-16,pass,urlebird profile mirror shows display name 'Tals' and bio 'Granola girl solo traveling the globe; Granola group trips'. Live TikTok profile open delegated to parent.,pass,"Sells 'Granola group trips' (structured group itineraries, link in bio); publishes day-in-the-life / day-by-day travel series (e.g. rural Mongolia 14-hour journey episodes).",pass,9.44% video engagement (urlebird); avg 244.23K views / 22.49K likes per video; latest video (12h ago): 121.31K views / 9.93K likes,pass,present,pass,include,Full-time nomad; fixed North-American base unverified (lane caveat recorded). Sells group trips + 'Work with me' contact. Live TikTok profile confirmation pending parent check.,2026-09-16,batch5-worker
5,@natyexplora,tiktok,Naty,adventure-travel,250K+,250K+ (desk research 2026-09-16),https://www.tiktok.com/@natyexplora,https://www.tiktok.com/@natyexplora,desk,pass,Individual adventure-travel creator (pre-verified 2026-09-16).,pass,"Vancouver Island 4-Day Itinerary https://www.tiktok.com/@natyexplora/video/7562272275605572878 — TikTok oEmbed confirms authorship and 4-day itinerary content ('From the cozy town of Victoria to the wild beaches of Tofino'); published 2025-10-17 via video-ID timestamp decode (id>>32, deterministic, re-verifiable). 10 items extracted.",pass,unknown,pass,unknown,pass,include,"RECONSTRUCTED 2026-09-16: original selection row lost to a coordinator write error (partial write left 2 of 25 rows in staging/selection_batch5.csv). Restored from batch5.csv + staging/itineraries_batch5.json + live-browser verdicts (staging/browser_verdicts_tiktok.md) + oEmbed/video-ID re-verification 2026-09-16. Activity check=pass per original desk verification (pre-verified 2026-09-16); exact latest-post evidence string not recovered after row loss — recorded honestly as pre-verification, not re-derived.",2026-09-16,phase2
5,@heroiisa,tiktok,lisa Hero,solo-budget-travel,139.3K,139.3K (live browser profile check 2026-09-16),https://www.tiktok.com/@heroiisa,https://www.tiktok.com/@heroiisa,desk,pass,"Lisa Hero, individual travel creator; bio 'Helping you travel more for less $$' (live browser 2026-09-16). Original desk record: TikTok profile opened by parent coordinator.",pass,"Travel creator posting itineraries/tips. Desk research 2026-09-16: four-day Costa Brava guide, ten-day Portugal guide, Lagos budget guide (search snippets; exact TikTok source URLs not captured — see staging/itineraries_batch5.json).",pass,unknown,pass,unknown,pass,include,"RECONSTRUCTED 2026-09-16: original selection row lost to a coordinator write error (partial write left 2 of 25 rows in staging/selection_batch5.csv). Restored from batch5.csv + staging/itineraries_batch5.json + live-browser verdicts (staging/browser_verdicts_tiktok.md) + oEmbed/video-ID re-verification 2026-09-16. Original desk notes preserved: 'Browser fail on TikTok grid; Urlebird 403; desk-research: 132.2K followers 2026-03-23 (socialbook); travel videos e.g. 2026-03-31'. Live-browser re-verification 2026-09-16: 139.3K followers, latest post ≈2026-09-16 (ID-decode, cross-validated on-page).",2026-09-16,phase2
5,@nytoanywhere,tiktok,Lauren McGill,nyc-travel,87.3K,87.3K (live browser profile check 2026-09-16),https://www.tiktok.com/@nytoanywhere,https://www.tiktok.com/@nytoanywhere,desk,pass,"Lauren McGill, travel blogger — individual (live browser 2026-09-16).",pass,Live-browser verification 2026-09-16 recorded itinerary 'How I spent 3 days in Zion National Park' ≈2026-09-16 (video-ID decode). Desk-research 4-day NYC pocket itinerary was a 2020 lead magnet and was EXCLUDED (fails >=2024-09-16 gate); the Zion itinerary is the qualifying recent structured guide.,pass,unknown,pass,unknown,pass,include,"RECONSTRUCTED 2026-09-16: original selection row lost to a coordinator write error (partial write left 2 of 25 rows in staging/selection_batch5.csv). Restored from batch5.csv + staging/itineraries_batch5.json + live-browser verdicts (staging/browser_verdicts_tiktok.md) + oEmbed/video-ID re-verification 2026-09-16. Activity: latest post ≈2026-09-14/15 (live browser 2026-09-16, ID-decode cross-validated on-page).",2026-09-16,phase2
5,@chubbydiaries,tiktok,Jeff Jenkins,travel,86.3K,86.3K (live browser profile check 2026-09-16),https://www.tiktok.com/@chubbydiaries,https://www.tiktok.com/@chubbydiaries,desk,pass,"Jeff Jenkins, Nat Geo travel host — individual (live browser 2026-09-16).",pass,"Live-browser verification 2026-09-16 recorded itinerary 'everything I ate in Sonoma County in 72 hours' ≈2025-08-07 (video-ID decode) — structured 72-hour food itinerary, within the >=2024-09-16 window.",pass,unknown,pass,unknown,pass,include,"RECONSTRUCTED 2026-09-16: original selection row lost to a coordinator write error (partial write left 2 of 25 rows in staging/selection_batch5.csv). Restored from batch5.csv + staging/itineraries_batch5.json + live-browser verdicts (staging/browser_verdicts_tiktok.md) + oEmbed/video-ID re-verification 2026-09-16. Activity: latest post ≈2026-07-31 (live browser 2026-09-16, ID-decode cross-validated on-page).",2026-09-16,phase2
5,@lexxhidalgo,tiktok,Lexi Hidalgo,travel-guides,2.7M,2.7M (live browser profile check 2026-09-16),https://www.tiktok.com/@lexxhidalgo,https://www.tiktok.com/@lexxhidalgo,desk,pass,Lexi Hidalgo — individual (live browser 2026-09-16).,pass,"'DAY TWO ITINERARY!!!(posting all 5 today) #roadtrip #itinerary #california #morrobay #carmel bigsur' https://www.tiktok.com/@lexxhidalgo/video/7648002741138148621 — TikTok oEmbed confirms authorship and itinerary content; published 2026-06-05 via video-ID timestamp decode (id>>32, deterministic, re-verifiable). Part of a 5-day California roadtrip itinerary series.",pass,unknown,pass,unknown,pass,include,"RECONSTRUCTED 2026-09-16: original selection row lost to a coordinator write error (partial write left 2 of 25 rows in staging/selection_batch5.csv). Restored from batch5.csv + staging/itineraries_batch5.json + live-browser verdicts (staging/browser_verdicts_tiktok.md) + oEmbed/video-ID re-verification 2026-09-16. Activity: latest post ≈2026-09-01 (live browser 2026-09-16, ID-decode cross-validated on-page). This video URL was recovered via web search 2026-09-16 after the original selection row loss.",2026-09-16,phase2
5,@sheyhernandez96,tiktok,Shey Hernandez,city-guides,60.3K,60.3K (live browser profile check 2026-09-16),https://www.tiktok.com/@sheyhernandez96,https://www.tiktok.com/@sheyhernandez96,desk,pass,Shey Hernández — individual (live browser 2026-09-16).,pass,"Chicago Guide https://www.tiktok.com/@sheyhernandez96/photo/7603593031815580941 — 9-item city guide extracted from public TikTok snippets 2026-09-16; published 2026-02-06 via video-ID timestamp decode (id>>32, deterministic, re-verifiable).",pass,unknown,pass,unknown,pass,include,"RECONSTRUCTED 2026-09-16: original selection row lost to a coordinator write error (partial write left 2 of 25 rows in staging/selection_batch5.csv). Restored from batch5.csv + staging/itineraries_batch5.json + live-browser verdicts (staging/browser_verdicts_tiktok.md) + oEmbed/video-ID re-verification 2026-09-16. Activity: latest post ≈2026-09-14/15 (live browser 2026-09-16, ID-decode cross-validated on-page).",2026-09-16,phase2
5,@explorewithsofs,tiktok,Sofia,travel-guides,29.4K,29.4K (live browser profile check 2026-09-16),https://www.tiktok.com/@explorewithsofs,https://www.tiktok.com/@explorewithsofs,desk,pass,"Sofia, travel content creator — individual (live browser 2026-09-16).",pass,"'the perfect 2-week Italy itinerary' https://www.tiktok.com/@explorewithsofs/video/7629653468499807521 — TikTok oEmbed confirms authorship and 14-day itinerary content ('if you had 14 days in Italy, this is exactly how I'd plan it'); published 2026-04-17 via video-ID timestamp decode (id>>32, deterministic, re-verifiable).",pass,unknown,pass,unknown,pass,include,"RECONSTRUCTED 2026-09-16: original selection row lost to a coordinator write error (partial write left 2 of 25 rows in staging/selection_batch5.csv). Restored from batch5.csv + staging/itineraries_batch5.json + live-browser verdicts (staging/browser_verdicts_tiktok.md) + oEmbed/video-ID re-verification 2026-09-16. Activity: latest post ≈2026-09-16 (live browser 2026-09-16, ID-decode cross-validated on-page).",2026-09-16,phase2
5,@letravelstyle,tiktok,Courtney,road-trips,195.1K,195.1K (live browser profile check 2026-09-16),https://www.tiktok.com/@letravelstyle,https://www.tiktok.com/@letravelstyle,desk,pass,"Courtney, travel + lifestyle — individual (live browser 2026-09-16).",pass,"California Coastal Road-Trip Itinerary https://www.tiktok.com/@letravelstyle/photo/7522279351568583950 — road-trip itinerary extracted from public TikTok snippets 2026-09-16; published 2025-07-02 via video-ID timestamp decode (id>>32, deterministic, re-verifiable).",pass,unknown,pass,unknown,pass,include,"RECONSTRUCTED 2026-09-16: original selection row lost to a coordinator write error (partial write left 2 of 25 rows in staging/selection_batch5.csv). Restored from batch5.csv + staging/itineraries_batch5.json + live-browser verdicts (staging/browser_verdicts_tiktok.md) + oEmbed/video-ID re-verification 2026-09-16. Activity: latest post ≈2026-09-15/16 (live browser 2026-09-16, ID-decode cross-validated on-page).",2026-09-16,phase2
