handle,platform,cause,evidence,check_date,selector
@ladytrailmix,tiktok,reject: reach floor,"TikTok profile 2026-09-17: 1,599 followers (< 10,000)",2026-09-17,batch9-topup
@vannypacktravels,tiktok,reject: reach floor,"TikTok profile 2026-09-17: 186 followers (< 10,000)",2026-09-17,batch9-topup
@mishel_travel,tiktok,reject: reach floor,"TikTok profile 2026-09-17: 480 followers (< 10,000) despite usable Brazil itinerary",2026-09-17,batch9-topup
@ultimatevacationn,tiktok,reject: couple account,"TikTok profile 2026-09-17: nickname 'Logan & Audri', bio 'Full-Time Travel Couple' (105,800 followers)",2026-09-17,batch9-topup
@_martavieira_,tiktok,reject: content-fit,No dated (2024-09-17..2026-09-17) creator-owned structured itinerary found; recent feed wedding/couple-focused; Faye article mentions NYC series but no verifiable dated guide URL,2026-09-17,batch9-topup
@karissaeats,tiktok,reject: content-fit,Global food / day-in-life content; no structured destination travel itinerary found,2026-09-17,batch9-topup
@the10daytour,tiktok,reject: reach floor,"TikTok profile 2026-09-17: 2,797 followers (< 10,000); Tasmania 4-day itinerary video found but reach fails",2026-09-17,batch9-topup
@lavidadownunder,tiktok,reject: dedup + reach,"Collision in dedup_universe_2026-09-17.txt; also 4,706 followers (< 10,000)",2026-09-17,batch9-topup
@biancainmelbourne,tiktok,reject: exclusion gate,"biancainmelbourne.com/links (observed 2026-09-17): ""ACTIVITY: I plan your day out in Melbourne!"" -> www.amazingco.me (hosted consumer experience) + ""MEETUPS: Let's hang out!""; hosted consumer experience/meetup offering",2026-09-17,batch9-topup
@real_diari_adventures,tiktok,reject: shared/duo account,"Account branded ""DiAri Adventures""; captions use ""our Top 3 BEST road trips"", ""our itinerary"", ""Follow us for more Epic Canada road trips"" (observed 2026-09-17); no named individual established",2026-09-17,batch9-topup
@haylsa,tiktok,reject: shared/duo account,"aweventurer.com invitation signed ""Hayley & Kyle"" for Haylsa; haylsa.com itineraries consistently use ""we""/""both of us"" (observed 2026-09-17); no named individual established; also blog itineraries dated ~2021-2022 (outside window)",2026-09-17,batch9-topup
@nathsway,tiktok,reject: exclusion gate,"TikTok bio observed 2026-09-17: ""Join our next community hike!"" - recurring hosted consumer group activity; watertight reading of hosted consumer group trips exclusion",2026-09-17,batch9-topup
@elises.traveldiary,tiktok,reject: exclusion gate,"trovatrip.com/trip/asia/thailand/thailand-with-elise-mclean-jun-2024 (observed 2026-09-17): ""Thailand with Elise McLean (@elises.traveldiary)"" hosted group trip, Jun 24-30 2024, 8-24 travelers, 7 days/6 nights, $1,339 USD; hosted consumer group trip offering",2026-09-17,batch9-topup
@vitortrip,tiktok,reject: dedup collision,check_dedup_batch9.py 2026-09-17: collision with batch5.csv + dedup_universe_2026-09-17.txt + influencers.csv (already banked in batch5),2026-09-17,batch9-topup
