name,handle,platform,niche,followers_approx,profile_url,source_urls
Marco and Gius,@marcoegius,tiktok,couples,unknown,https://www.tiktok.com/@marcoegius,https://www.ef.nl/blog/language/tiktok-travel-inspo/
Marissa Strang,@marissadaily_,tiktok,points-miles,unknown,https://www.tiktok.com/@marissadaily_,https://www.elitedaily.com/lifestyle/how-to-travel-on-budget-after-college
Mark Harrison,@marklharriosn,tiktok,adventure,1.2M,https://www.tiktok.com/@marklharriosn,https://www.diarydirectory.com/newsarticle/lefty-reveals-the-top-travel-tiktok-influencers-to-follow-in-2025/65090
Max Miles Points,@maxmilespoints,tiktok,points-miles,unknown,https://www.tiktok.com/@maxmilespoints,https://www.afar.com/magazine/9-tiktok-accounts-giving-smart-useful-travel-advice
Mikki Tenazas,@mgtenazas,tiktok,luxury,1.5M,https://www.tiktok.com/@mgtenazas,https://izea.com/resources/tiktok-travel-influencers/amp/
Nikki Gibson,@nikkionherway,tiktok,itineraries,unknown,https://www.tiktok.com/@nikkionherway,https://izea.com/resources/gen-z-travel-influencers/ | https://www.elitedaily.com/lifestyle/how-to-travel-on-budget-after-college
One Girl Wandering,@onegirlwandering,tiktok,solo,124K,https://www.tiktok.com/@onegirlwandering,https://www.diarydirectory.com/newsarticle/lefty-reveals-the-top-travel-tiktok-influencers-to-follow-in-2025/65090
Gabby Beckford,@packslight,tiktok,solo,332.2K,https://www.tiktok.com/@packslight,https://izea.com/resources/gen-z-travel-influencers/ | https://www.elitedaily.com/lifestyle/how-to-travel-on-budget-after-college
Ayana,@postcardsfromayana,tiktok,solo,184K,https://www.tiktok.com/@postcardsfromayana,https://www.diarydirectory.com/newsarticle/lefty-reveals-the-top-travel-tiktok-influencers-to-follow-in-2025/65090
Rilee J. Smith,@rileejsmith,tiktok,budget,unknown,https://www.tiktok.com/@rileejsmith,https://www.afar.com/magazine/9-tiktok-accounts-giving-smart-useful-travel-advice
She Travelled The World,@shetravelledtheworld,tiktok,solo,unknown,https://www.tiktok.com/@shetravelledtheworld,https://www.highsocial.com/es/resources/travel-influencer-feed-your-wanderlust/
Nina Zadeh,@sidewalkerdaily,tiktok,budget,unknown,https://www.tiktok.com/@sidewalkerdaily,https://www.elitedaily.com/lifestyle/how-to-travel-on-budget-after-college
Sara,@sightsofsara,tiktok,solo,1.4M,https://www.tiktok.com/@sightsofsara,https://www.highsocial.com/es/resources/travel-influencer-feed-your-wanderlust/ | https://www.diarydirectory.com/newsarticle/lefty-reveals-the-top-travel-tiktok-influencers-to-follow-in-2025/65090
Sonia Mota,@sonia.c.mota,tiktok,adventure,96.3K,https://www.tiktok.com/@sonia.c.mota,https://www.diarydirectory.com/newsarticle/lefty-reveals-the-top-travel-tiktok-influencers-to-follow-in-2025/65090
Savannah,@storyofsavannah,tiktok,adventure,unknown,https://www.tiktok.com/@storyofsavannah,https://izea.com/resources/gen-z-travel-influencers/
German Travel Guy,@thegermantravelguy,tiktok,adventure,3.1M,https://www.tiktok.com/@thegermantravelguy,https://www.diarydirectory.com/newsarticle/lefty-reveals-the-top-travel-tiktok-influencers-to-follow-in-2025/65090
Kay Akpan,@themomtrotter,tiktok,family,unknown,https://www.tiktok.com/@themomtrotter,https://www.afar.com/magazine/9-tiktok-accounts-giving-smart-useful-travel-advice
Morgan and Connor,@thenationalparktravelers,tiktok,adventure,unknown,https://www.tiktok.com/@thenationalparktravelers,https://www.afar.com/magazine/9-tiktok-accounts-giving-smart-useful-travel-advice
Natasha Danielle,@theworldpursuit,tiktok,solo,unknown,https://www.tiktok.com/@theworldpursuit,https://izea.com/resources/tiktok-travel-influencers/amp/
Jaro,@travelwithjaro,tiktok,adventure,1.3M,https://www.tiktok.com/@travelwithjaro,https://www.diarydirectory.com/newsarticle/lefty-reveals-the-top-travel-tiktok-influencers-to-follow-in-2025/65090
Travel with Pat,@travelwithpat,tiktok,points-miles,unknown,https://www.tiktok.com/@travelwithpat,https://www.afar.com/magazine/9-tiktok-accounts-giving-smart-useful-travel-advice
Uzma,@uzma.mahbub,tiktok,luxury,unknown,https://www.tiktok.com/@uzma.mahbub,https://www.ef.nl/blog/language/tiktok-travel-inspo/
Wheel Around The World,@wheelaroundtheworld,tiktok,adventure,218K,https://www.tiktok.com/@wheelaroundtheworld,https://www.diarydirectory.com/newsarticle/lefty-reveals-the-top-travel-tiktok-influencers-to-follow-in-2025/65090
Maz,@wheretofindme,tiktok,itineraries,486.5K,https://www.tiktok.com/@wheretofindme,https://izea.com/resources/tiktok-travel-influencers/amp/ | https://www.diarydirectory.com/newsarticle/lefty-reveals-the-top-travel-tiktok-influencers-to-follow-in-2025/65090
Caroline Foster,@wilderness_addict,tiktok,adventure,unknown,https://www.tiktok.com/@wilderness_addict,https://izea.com/resources/tiktok-travel-influencers/amp/
