name,handle,platform,niche,followers_approx,profile_url,source_urls
Kirsten Alana,@kirstenalana,instagram,travel photography / California coast,176500,https://www.instagram.com/kirstenalana/,https://kirstenalana.com/travel/san-luis-obispo/; https://influencers.feedspot.com/female_travel_instagram_influencers/
Alexx Hayward,@findingalexx,instagram,solo female travel,47700,https://www.instagram.com/findingalexx/,https://findingalexx.com/10-day-switzerland-itinerary/; https://findingalexx.com/alonissos-greece-travel-guide/; https://socialveins.com/influencer/instagram/findingalexx
Amanda Williams,@dangerousbiz,instagram,experiential travel / Japan,33200,https://www.instagram.com/dangerousbiz/,https://www.dangerous-business.com/5-days-in-kyoto-itinerary/; https://marketplace.izea.com/@amanda-williams-dangerousbiz
Victoria Philpott,@vickyflipflop,instagram,family travel / UK budget travel,16400,https://www.instagram.com/vickyflipflop/,https://vickyflipfloptravels.com/7-day-tokyo-itinerary/; https://vickyflipfloptravels.com/work-with-me/
Emily Luxton,@em_luxton,instagram,solo female travel (30s+),16900,https://www.instagram.com/em_luxton/,https://www.emilyluxton.co.uk/south-cornwall-mevagissey-travel-guide/; https://influencers.feedspot.com/uk_travel_instagram_influencers/
Jayne Gorman,@jayneytravels,instagram,Austria / European weekend travel,72000,https://www.instagram.com/jayneytravels/,https://jayneytravels.com/weekend-guide-to-linz-the-donau-region-upper-austria/; https://jayneytravels.com/wp-content/uploads/2026/03/jayneytravels-media-kit-2026-hotels.pdf
Christina Guan,@happytowander,instagram,Europe backpacking / city guides,66100,https://www.instagram.com/happytowander/,https://happytowander.com/western-europe-backpacking-itinerary/; https://happytowander.com/work-with-me/
Michael Turtle,@michaelturtle,instagram,slow / cultural travel,15534,https://www.instagram.com/michaelturtle/,https://www.timetravelturtle.com/greece/three-days-in-athens-itinerary/; https://www.timetravelturtle.com/work-with-me/
Clint Johnston,@triphackr,instagram,Central America / adventure travel,150000,https://www.instagram.com/triphackr/,https://triphackr.com/now-is-the-time-to-discover-el-salvador/; https://triphackr.com/work-with-me/
Matthew Karsten,@expertvagabond,instagram,adventure / road-trip travel,131100,https://www.instagram.com/expertvagabond/,https://expertvagabond.com/ring-road-trip-iceland/
Christine Tran Ferguson,@tourdelust,instagram,city travel guides / luxury travel,533400,https://www.instagram.com/tourdelust/,https://tourdelust.com/istanbul-travel-guide-3-day-itinerary/; https://tourdelust.com/about/
Lauren Carey,@girlgoneabroad,instagram,Arctic / northern lights / photography travel,100800,https://www.instagram.com/girlgoneabroad/,https://www.girlgoneabroad.com/blog/tromso-northern-lights-guide-with-photography-tips
Dani Heinrich,@globetrottergirls,instagram,solo female / LGBTQ travel,17800,https://www.instagram.com/globetrottergirls/,https://globetrottergirls.com/48-hours-in-austin-texas/
Kristin Luna,@lunaticatlarge,instagram,travel / food / design journalism,27700,https://www.instagram.com/lunaticatlarge/,https://www.camelsandchocolate.com/best-things-to-do-in-tupelo-mississippi/
Sarah Fay,@travelsofsarahfay,instagram,adventure / solo female travel,11165,https://www.instagram.com/travelsofsarahfay/,https://travelsofsarahfay.com/3-days-in-barbados/
Sinah,@sinahsstories,instagram,underrated destinations / itinerary guides,121000,https://www.instagram.com/sinahsstories/,https://sinahsstories.com/2025/05/30/ultimate-puglia-7-day-itinerary/; https://influencers.feedspot.com/solo_female_travel_instagram_influencers/
Grace Kim,@gracefkim,instagram,solo travel / adventure,73.5K-76K,https://www.instagram.com/gracefkim/,https://gracefkim.com/10-day-guatemala-itinerary/; https://gondola.cc/gracefkim
Jordyn Verzera,@themobilehomie,instagram,budget / road-trip travel (US road trips),95800,https://www.instagram.com/themobilehomie/,https://themobilehomie.com/pacific-northwest-road-trip/; https://themobilehomie.com/10-day-china-itinerary/; http://influencers.feedspot.com/budget_travel_instagram_influencers/
Harry & Lydia,@thenomadsyouknow,instagram,affordable adventure travel / underrated destinations,63100,https://www.instagram.com/thenomadsyouknow/,https://thenomadsyouknow.co.uk/lubbock-texas-how-to-spend-3-epic-days-in-the-wild-west/; https://thenomadsyouknow.co.uk/about-us/; https://influencers.feedspot.com/uk_couple_instagram_influencers/
