batch,handle,platform,name,niche,followers_approx,followers_observed,followers_source,profile_url,discovery_source,identity_check,identity_method,content_fit,content_fit_evidence,reach_floor,engagement_observed,activity_check,purchase_intent,exclusions_check,decision,notes,check_date,selector
19,@jessica_traveler,instagram,Jessica Carpenter,adventure travel & van life,79.5K,79.5K,"Feedspot Top 90 Micro Travel Influencers list, observed 2026-09-17",https://www.instagram.com/jessica_traveler/,Feedspot micro travel influencers directory + web search,pass,Intrepid author bio links Instagram @jessica_traveler to myfeetwillleadme.com; her site work-with-me page names Jessica Carpenter and Instagram @jessica_traveler; WA business record for MY FEET WILL LEAD ME LLC names Jessica Carpenter; single individual.,pass,"myfeetwillleadme.com/where-to-go-in-corsica-a-two-week-itinerary/: two-week Corsica itinerary (Bonifacio, Porto, Ajaccio, L'Ile-Rousse, Corte, Nonza, Bastia, Palombaggia) written in first person; image upload path 2026/01 and search-index update ~2026-02-23, within 2024-09-17 to 2026-09-17.",pass,unknown,pass,unknown,pass,include,Individual creator; Corsica two-week itinerary extraction; dedup clear 2026-09-17; no exclusions.,2026-09-17,batch19-worker
19,@marissa.daily,instagram,Marissa Strang,culture-first city guides,72.5K,72.5K,"Feedspot Top 90 Micro Travel Influencers list, observed 2026-09-17",https://www.instagram.com/marissa.daily/,Feedspot micro travel influencers directory + web search,pass,themarissadaily.com author bio names Marissa Strang as full-time lifestyle and travel blogger; Feedspot maps @marissa.daily to Marissa Strang; single individual.,pass,"themarissadaily.com/2025/08/19/7-day-san-francisco-itinerary-where-to-eat-explore-experience-the-city/: 7-day day-by-day San Francisco itinerary; URL date 2025-08-19, within 2024-09-17 to 2026-09-17.",pass,unknown,pass,unknown,pass,include,Individual creator; SF 7-day itinerary extraction; dedup clear 2026-09-17; no exclusions.,2026-09-17,batch19-worker
19,@travelrealizations,instagram,Chirasree Banerjee,California family travel,48.6K,48.6K,"Feedspot Top 90 Micro Travel Influencers list, observed 2026-09-17",https://www.instagram.com/travelrealizations/,Feedspot micro travel influencers directory + web search,pass,Byline 'By Chirasree Banerjee' on travelrealizations.com; Feedspot maps @travelrealizations to Chirasree Banerjee; single individual.,pass,"travelrealizations.com/2-day-mount-shasta-itinerary/: structured Day 1 / Day 2 Mount Shasta family itinerary (Hedge Creek Falls, McCloud Falls trio, Lake Siskiyou, Burney Falls); search-index update ~2026-04-03, within 2024-09-17 to 2026-09-17.",pass,unknown,pass,unknown,pass,include,Individual creator; Mt Shasta 2-day itinerary extraction; dedup clear 2026-09-17; no exclusions.,2026-09-17,batch19-worker
19,@liveloveruntravel,instagram,Christine Wheeler,outdoor hiking travel,45.7K,45.7K,"Feedspot Top 90 Micro Travel Influencers list, observed 2026-09-17",https://www.instagram.com/liveloveruntravel/,Feedspot micro travel influencers directory + web search,pass,liveloveruntravel.com/about/ states 'I am Christine Wheeler'; Feedspot maps @liveloveruntravel to Christine Wheeler; single individual author (husband mentioned only as travel companion).,pass,"liveloveruntravel.com/best-things-to-do-in-portsmouth-nh-day-trip/: Portsmouth NH day-trip itinerary with day plan and named stops (Market Square, River House, Prescott Park, Strawbery Banke, USS Albacore); search-index update ~2024-12-14, within 2024-09-17 to 2026-09-17.",pass,unknown,pass,unknown,pass,include,Individual creator (Christine Wheeler); Portsmouth day-trip extraction; dedup clear 2026-09-17; no exclusions.,2026-09-17,batch19-worker
19,@wheretarawent,instagram,Tara,in-depth adventure itineraries,19.2K,19.2K,"Feedspot Top 90 Micro Travel Influencers list, observed 2026-09-17",https://www.instagram.com/wheretarawent/,Feedspot micro travel influencers directory + web search,pass,"wheretarawent.com homepage introduces 'Hi, I'm Tara!' with 65 countries of first-person travel; Feedspot maps @wheretarawent (19.2K); single individual.",pass,"wheretarawent.com/blog/albania-itinerary: 1-week and 2-week day-by-day Albania itineraries written in first person; page title 'Updated for 2026', within 2024-09-17 to 2026-09-17.",pass,unknown,pass,unknown,pass,include,Individual creator; Albania itinerary extraction; dedup clear 2026-09-17; no exclusions.,2026-09-17,batch19-worker
19,@thetravelbunny,instagram,Suzanne Jones,50+ adventure travel,17K,17K,"Feedspot Top 90 Micro Travel Influencers list, observed 2026-09-17",https://www.instagram.com/thetravelbunny/,Feedspot micro travel influencers directory + web search,pass,"thetravelbunny.com homepage 'Hi, I'm Suzanne'; site byline 'Suzanne Jones is a full-time travel blogger and writer at The Travelbunny'; Feedspot maps @thetravelbunny to 17K; single individual.",pass,"thetravelbunny.com/china-itinerary-sichuan/: 13-day day-by-day Sichuan/Qinghai (Tibetan Plateau) itinerary; media uploaded 2025/12 and search-index update ~2026-04 (156 days before 2026-09-17), within 2024-09-17 to 2026-09-17.",pass,unknown,pass,unknown,pass,include,Individual creator; China 13-day itinerary extraction; dedup clear 2026-09-17; no exclusions.,2026-09-17,batch19-worker
19,@adventuresfromelle,instagram,Rochelle Knight,Caribbean travel,17.9K,17.9K,"Feedspot Top 70 Black Travel Instagram Influencers list, observed 2026-09-17",https://www.instagram.com/adventuresfromelle/,Feedspot black travel Instagram influencers directory,pass,"adventuresfromelle.com/travel/ identifies Rochelle Knight as Jamaican medical doctor, blogger, author and operator of @adventuresfromelle; single individual.",pass,"adventuresfromelle.com/2026/07/10/orlando-florida-itinerary/: structured four-day Orlando itinerary dated 2026-07-10 (within 2024-09-17 to 2026-09-17) with named hotel (Galleria Palms Hotel), transport (prebooked airport shuttle), restaurants (Bahama Breeze, K Bistro, A&W Restaurant, Pecos Bill Tall Tale Inn & Cafe) and activities (Old Town Kissimmee, Magic Kingdom, Rolling Oaks Commons Plaza, Vineland Pointe).",pass,unknown,pass,unknown,pass,include,"Individual creator; Orlando 4-day itinerary extraction; dedup clear 2026-09-17; site sells fixed guides/books and affiliate tours only - no personalized planning, coaching, or hosted group trips seen.",2026-09-17,batch19-topup
19,@tomiko.harvey,instagram,Tomiko Harvey,Caribbean beach travel,23K,23K,"Feedspot Top 70 Black Travel Instagram Influencers list, observed 2026-09-17",https://www.instagram.com/tomiko.harvey/,Feedspot black travel Instagram influencers directory,pass,passportsandgrub.com identifies Tomiko Harvey as individual travel writer and operator of @tomiko.harvey; single individual.,pass,"passportsandgrub.com/is-cancun-safe-cancun-travel-warning/: structured Cancun travel guide explicitly covering 2026 conditions and referencing events on 2026-02-22 and 2026-02-23 (within 2024-09-17 to 2026-09-17), with named hotels (Grand Fiesta Americana Coral Beach Cancun, NIZUC Resort and Spa, Kempinski Hotel Cancun), airport transport/rental car guidance, and activity areas (Hotel Zone, Isla Mujeres, La Isla, Kukulcan Plaza).",pass,unknown,pass,unknown,pass,include,"Individual creator; Cancun 2026 guide extraction; dedup clear 2026-09-17; site sells a general travel-safety guide only - no custom itineraries, coaching, or hosted group trips seen.",2026-09-17,batch19-topup
19,@minoritynomad,instagram,Erick Prince,luxury city guides,31.2K,31.2K,"Feedspot Top 70 Black Travel Instagram Influencers list, observed 2026-09-17",https://www.instagram.com/minoritynomad/,Feedspot black travel Instagram influencers directory,pass,minoritynomad.com identifies Erick Prince as individual travel journalist/photographer and Bangkok local; single author; single individual.,pass,"minoritynomad.com/blog/a-locals-bangkok-luxury-hotel-guide: structured Bangkok luxury hotel guide dated 2026-07-18 (within 2024-09-17 to 2026-09-17), covering six named hotels (Kimpton Maa-Lai Bangkok, The Standard Bangkok Mahanakhon, Capella Bangkok, 137 Pillars Suites & Residences Bangkok, Mandarin Oriental Bangkok, Shangri-La Bangkok) plus named restaurants/activities (Stock.Room, CRAFT, Lumphini Park, Crimson Room, Ojo, Sky Beach, Mahanakhon Skywalk, Warehouse 30, IconSiam, Bamboo Bar).",pass,unknown,pass,unknown,pass,include,"Individual creator; Bangkok luxury hotel guide extraction; dedup clear 2026-09-17; Feedspot tagline 'Teaching People To Travel Better' is editorial - no paid coaching, custom planning, or hosted group trips found on opened pages.",2026-09-17,batch19-topup
19,@travelingblackwidow,instagram,Charlotte Simpson,travel guides,27.7K,27700,Feedspot (observed 2026-09-17),https://www.instagram.com/travelingblackwidow,batch19 top-up research 2026-09-17,pass,named individual (Charlotte Simpson); singular creator brand,pass,Croatia guide (travelingblackwidow.com/is-croatia-the-new-italy/) and South Korea spring-2025 guide (travelingblackwidow.com/visit-south-korea-spring-2025/),pass (27700 >= 10000),Feedspot -1% 3-month growth (observed 2026-09-17),pass,unknown,pass (no planning/coaching/hosted-trip/agency signals per worker research),include,Verified by batch19 worker 2026-09-17. Item-level harvest completed by wave-3 worker 2026-09-17.,2026-09-17,batch19-topup
19,@thereshegoesagn,instagram,Samantha,travel guides,34.9K,34900,Feedspot (observed 2026-09-17),https://www.instagram.com/thereshegoesagn,batch19 top-up research 2026-09-17,pass,named individual (Samantha); singular creator brand,pass,"Steinbach Manitoba guide (thereshegoesagain.org/steinbach-travel-manitoba-canada/, 2026/08 image paths) and Quebec City itinerary (thereshegoesagain.org/quebec-city-itinerary/, updated ~110 days before 2026-09-17)",pass (34900 >= 10000),Feedspot -3% 3-month growth (observed 2026-09-17),pass,unknown,pass (no planning/coaching/hosted-trip/agency signals per worker research),include,Verified by batch19 worker 2026-09-17. Item-level harvest completed by wave-3 worker 2026-09-17.,2026-09-17,batch19-topup
19,@angieaway,instagram,Angie Orth,solo travel & US itineraries,70.6K,70.6K,"Feedspot travel lifestyle blogs directory (page ""Last Updated: 1 day ago""), observed 2026-09-17",https://www.instagram.com/angieaway/,Batch 19 lead-closer list; identity/itinerary/engagement verified via web search + creator-owned site,pass,"angieaway.com/flirting-with-disaster-book/ names Angie Orth as creator of AngieAway.com; iHeart podcast bio ties Angie Orth to @AngieAway on Instagram/TikTok; @angieaway is her personal handle, distinct from duo brand @TheJetSisters; single individual.",pass,"angieaway.com/2026/07/20/things-to-do-in-ridgeland-mississippi/ - 'Under-the-Radar Girls\' Getaway in the South': 4-day Ridgeland MS itinerary (Day 1: AC Hotel Jackson Ridgeland, CAET dinner, Renaissance Show Fountain; Day 2: Barnett Reservoir kayaking/hiking, Bill Waller Craft Center, CW Organics Tea Room, Allison Avery bead bar, PaTina Head Spa, Tico's Steakhouse; Day 3: Natchez Trace biking, Cock of the Walk, Retail Trail, Buenos Aires Bakery, Wildflower Field, Anjou; Day 4: hotel breakfast, fly home). URL date 2026-07-20 within 2024-09-17..2026-09-17.",pass,"TikTok @angieaway (same creator, ""Angie Away - Travel Tips"", bio links angieaway.com): 3,841 followers, 88,700 total likes, 230 videos; observed 2026-09-17.",pass,present,pass,include,Individual creator; Ridgeland 4-day itinerary extraction; dedup clear 2026-09-17 (absent from influencers.csv and all batch*.csv); site coaching/consulting is B2B brand work (allowed per 2026-09-16 adjudication); no consumer trip-planning service or hosted group trips found; IG post-level view login-walled but 2026-07-20 post links her Instagram Reel of the same trip and Feedspot tracked the IG account at 70.6K on 2026-09-16.,2026-09-17,batch19-topup
