batch,handle,platform,name,niche,followers_approx,followers_observed,followers_source,profile_url,discovery_source,identity_check,identity_method,content_fit,content_fit_evidence,reach_floor,engagement_observed,activity_check,purchase_intent,exclusions_check,decision,notes,check_date,selector
7,@tanyakhanijow,instagram,Tanya Khanijow,travel,1.5M,"1.5M (Qoruz, Sep 2026); 1,047,532 (StarNgage)",Qoruz; StarNgage,https://www.instagram.com/tanyakhanijow/,web research,pass,"third-party directory corroboration (Qoruz, StarNgage)",pass,creator-attributed structured itineraries dated 2026-08-18 (Singapore) and 2026-09-15 (Cinque Terre),pass,"1.67% (Qoruz); 24.3K avg likes, 140 avg comments, 572.8K Reel views",pass,unknown,pass,include,Both guides via Whosthat360 editorials summarizing her own published itineraries.,2026-09-16,batch7-worker
7,@shivya,instagram,Shivya Nath,slow travel / sustainable travel,>130K,>130K Instagram followers,Famous Birthdays,https://www.instagram.com/shivya/,web research,pass,own blog The Shooting Star (the-shooting-star.com) names her as author,pass,"own-blog structured 3-day Goa itinerary, updated ~2026-08-06",pass,unknown (historical Forbes 2022-23 metrics exist but are stale; not represented as current),pass,unknown,pass,include,Engagement unknown as current; historical Forbes figures deliberately excluded.,2026-09-16,batch7-worker
7,@apytravelstories,instagram,Apoorva Rao,travel,463.9K,"463.9K (Qoruz, Sep 2026); 449.8K (Heepsy)",Qoruz; Heepsy,https://www.instagram.com/apytravelstories/,web research,pass,third-party profile (Local Samosa) identifies her as Hyderabad travel blogger,pass,her own YouTube Shorts: 3-day Phu Quoc (~2026-04-25) and 7-day Kerala (~2026-04-25) itineraries,pass,"1.48% (Qoruz); 1.9% (Heepsy); 6.9K avg likes, 137.1K Reel views",pass,unknown,pass,include,Identity source: https://www.localsamosa.com/2020/12/22/meet-apoorva-rao-a-travel-blogger-from-hyderabad-who-loves-weaving-stories-of-places-she-has-visited/,2026-09-16,batch7-worker
7,@marcieinmommyland,instagram,Marcie Cheung,family travel,11.7K,"11.7K (Feedspot, page last updated 16h ago, observed 2026-09-16)",Feedspot,https://www.instagram.com/marcieinmommyland/,web research,pass,"own-article bio identifies Marcie Cheung, family-travel expert and founder of Marcie in Mommyland",pass,"own-site structured itinerary '7 Days in Paris with Kids: The Complete 2026 Itinerary', updated ~2026-08-26",pass,unknown,pass,present,pass,include,GetYourGuide/Viator/Expedia/Flytographer affiliate booking links embedded in posts.,2026-09-16,batch7-worker
7,@travelbabbo,instagram,Eric Stoen,family travel,363.3K,"363.3K (Feedspot, observed 2026-09-16)",Feedspot,https://www.instagram.com/travelbabbo/,web research,pass,"Feedspot entry 'Eric Stoen, @travelbabbo, 363.3K'; Muck Rack author page travelbabbo",pass,"own-site 'Asia with Kids: A Crazy Three-Week, Six-Country Itinerary', last updated ~2026-01-29",pass,unknown,pass,unknown,pass,include,reichweitenbarometer.de IG Graph API media observations 2026-07-10-2026-07-27; FlixBus review documents Florence-Bologna trip 2026-07-06/07/23; blog crawled 7 days ago.,2026-09-16,batch7-worker
7,@travelynnfamily,instagram,Jenny Lynn,family travel,28.2K,"28.2K (Feedspot, observed 2026-09-16)",Feedspot,https://www.instagram.com/travelynnfamily/,web research,pass,own homepage names the Lynn family and Jenny; Feedspot identifies Jenny Lynn,pass,"own-site 'Indonesia with kids: 6 weeks through Java, Bali and Lombok', explicit site publication date 2026-09-03",pass,unknown,pass,present,pass,include,"affiliate disclaimer, Booking.com accommodation links, transport/booking links, paid travel-consultation offer; homepage lists travel posts dated 2026-09-08 and 2026-09-16.",2026-09-16,batch7-worker
7,@mumpacktravel,instagram,Evie (Mumpack Travel),travel,132.2K,132.2K (Feedspot),Feedspot,https://www.instagram.com/mumpacktravel/,web research,pass,"creator-owned domain/product page identifies her as Evie, creator of Mumpack Travel",pass,"Luxe Komodo Women's Adventure 2026-2027 creator-owned guide page: datePublished 2026-06-08, dateModified 2026-09-12",pass,unknown,pass,present,pass,include,"Guide page HTML metadata observed 2026-09-16; creator newsletters promoting the Sep 5-12, 2026 Komodo trip indexed Aug/Sep 2026.",2026-09-16,batch7-worker
7,@globetotting,instagram,Katja Gaskell,family travel,19.7K,"19.7K (Feedspot, Sep 2026)",Feedspot,https://www.instagram.com/globetotting,web research,pass,individual blogger Katja Gaskell; site globetotting.com,pass,"creator-authored structured itinerary: https://globetotting.com/three-days-in-amsterdam-itinerary/ (published 2026-01-10, modified 2026-01-26); explicit Days 1-3",pass,unknown,pass,present (affiliate disclosure; 11 booking-domain refs),pass,include,Recent activity: https://globetotting.com/things-to-do-in-london-in-september-with-kids/ (2026-09-01),2026-09-16,batch7-worker
7,@ting_dalton,instagram,Ting Dalton,family travel,14.8K,"14.8K (Feedspot, Sep 2026)",Feedspot,https://www.instagram.com/ting_dalton,web research,pass,individual travel writer Ting Dalton; my-travelmonkey.com,pass,"creator-authored structured itinerary: https://www.my-travelmonkey.com/3-day-istanbul-itinerary/ (published 2026-07-07, modified 2026-07-29); explicit Days 1-3 with intra-day sections",pass,unknown,pass,present (7 booking-domain refs),pass,include,Site active through 2026-09-14,2026-09-16,batch7-worker
7,@outsidesuburbia,instagram,Priya,family travel,42.4K,"42.4K (Feedspot, Sep 2026)",Feedspot,https://www.instagram.com/outsidesuburbia,web research,pass,individual blogger Priya; site links to exact IG handle,pass,creator-authored structured itinerary: https://outsidesuburbia.com/art/2-days-in-bern-a-slow-travel-guide-to-switzerlands-most-charming-capital/ (2026-07-30); explicit Days 1-2,pass,unknown,pass,present (affiliate disclosure; 4 booking-domain refs),pass,include,Site active through 2026-09-10,2026-09-16,batch7-worker
