batch,handle,platform,name,niche,followers_approx,followers_observed,followers_source,profile_url,discovery_source,identity_check,identity_method,content_fit,content_fit_evidence,reach_floor,engagement_observed,activity_check,purchase_intent,exclusions_check,decision,notes,check_date,selector
18,@absolutelylucy,instagram,Lucy Ruthnum,solo-travel,15.4K,15.4K followers,Feedspot solo female travel Instagram influencers list (fetched 2026-09-17),https://www.instagram.com/absolutelylucy/,web search + Feedspot list 2026-09-17; creator's own YouTube channel (@absolutelylucy) description,pass,"Feedspot identifies Lucy Ruthnum (@absolutelylucy, 15.4K); creator's own YouTube channel description links https://www.instagram.com/absolutelylucy",pass,"""5 Day Boston Itinerary for First-Timers (2026 Travel Guide)"" on absolutelylucy.com — explicit Day 1–5 structure (Freedom Trail, Beacon Hill/Fenway, museums, Chinatown food tour, whale watching).",pass,unknown,pass — YouTube channel active with 2026 Iceland vlogs; blog guide explicitly titled 2026; blog publishing current travel content,present,pass,include,Individual solo female travel creator; no couple/family or consultancy/operator services found.,2026-09-17,batch18-worker
18,@sarowly,instagram,Sarah Murawski,travel,43.5K,43.5K followers,Feedspot travel Instagram influencers list (fetched 2026-09-17),https://www.instagram.com/sarowly/,web search + Feedspot list 2026-09-17; creator's own blog (sarowly.me),pass,"Feedspot identifies Sarah Murawski (@sarowly, 43.5K); her own blog repeatedly identifies @sarowly as her Instagram",pass,"Amalfi Coast guide on sarowly.me — explicit five-day itinerary (Day 1 Positano, Day 2 Amalfi and Atrani, Day 3 Ravello, Day 4 Sorrento, Day 5 Capri); page references her 2025 visit.",pass,unknown,pass — blog active (pages crawled 2026-09-17); Amalfi guide references 2025 visit,present,pass,include,Individual travel creator; no consultancy/operator or couple/family exclusions found.,2026-09-17,batch18-worker
18,@bucketlistjourney,instagram,Annette White,bucket-list-travel,113.9K,113.9K followers,Feedspot female travel Instagram influencers list (fetched 2026-09-17),https://www.instagram.com/bucketlistjourney/,web search + Feedspot list 2026-09-17; creator's media kit (bucketlistjourney.net/media-kit/),pass,"Feedspot identifies Annette White (@bucketlistjourney, 113.9K); her media kit identifies Annette as the creator behind @bucketlistjourney",pass,"""The Perfect 3-day Itinerary for Oaxaca City, Mexico"" on bucketlistjourney.net — explicit Day 1/2/3 structure with named restaurants, tours and activities; page media dated 2025.",pass,unknown,pass — blog active with 2025 content and media; media kit current,present,pass,include,"Individual creator; media-kit ""Itinerary Creation"" is B2B brand collaboration (custom itineraries for brands), not consumer travel planning/consulting — no consumer consultancy found.",2026-09-17,batch18-worker
18,@learningescapes,instagram,Marta Correale,family-travel,13.9K,13.9K followers,Feedspot family travel Instagram influencers list (fetched 2026-09-17),https://www.instagram.com/learningescapes/,web search + Feedspot list 2026-09-17; creator's site (learningescapes.net),pass,"Feedspot identifies Marta Correale (@learningescapes, 13.9K); her site's about page identifies Marta; site carries ""FOLLOW ME ON INSTAGRAM: @learningescapes""",pass,"Cinque Terre itinerary page on learningescapes.net explicitly marked ""Updated 2025"" — structured 1-, 2- and 3-day plans (Manarola, Vernazza, Monterosso, Riomaggiore, Corniglia, hiking, pesto class, Porto Venere).",pass,unknown,pass — blog active with 2025-updated content; publishing family travel content,present,pass,include,"Individually operated by Marta Correale; site ""Work with us"" covers brand collaborations (hotel/product reviews), not consumer travel planning — no consultancy/operator found.",2026-09-17,batch18-worker
18,@indianahannah_blog,instagram,Indiana Hannah,regional-travel,24.6K,24.6K followers,Feedspot solo female travel blogs list (observed 2026-09-17),https://www.instagram.com/indianahannah_blog/,web search + Feedspot list 2026-09-17; creator's own blog (indianahannahblog.com),pass,"Site identifies 'Hannah' as individual operator ('Hey I\u2019m Hannah!'); 'Indiana Hannah' is a consistent one-person pseudonym (allowed per top-up brief); Lemon8 bio confirms husband/toddler are travel companions, not operators",pass,'50 of the Best Places to Visit in Indiana During the Fall' (URL date 2026-09-02) — structured guide with 60+ destinations and interactive map; '50 Coolest Summer Things to Do in Indiana' (URL date 2026-06-22),pass,unknown,pass — Fall guide published 2026-09-02 (15 days before check); Summer guide 2026-06-22,present,"pass — Work With Me page offers B2B 'Destination Visit' and 'Product Promotion' only; no consumer planning, coaching, or hosted trips (per batch17 research 2026-09-17)",include,"Individual Indiana travel creator; pseudonym allowed per brief; dedup-clear (not in universe, not in batch 20)",2026-09-17,batch18-topup
18,@heatheronhertravels,instagram,Heather Cowper,solo-travel,16.1K,16.1K followers,Feedspot solo female travel blogs list (observed 2026-09-17),https://www.instagram.com/heatheronhertravels/,web search + Feedspot list 2026-09-17; creator's own blog (heatheronhertravels.com),pass,Heather Cowper identified as individual UK travel blogger (per batch17 research 2026-09-17),pass,'Things to do in Piraeus' on heatheronhertravels.com — structured one-day itinerary (search-engine relative date accepted per top-up brief),pass,unknown,pass — itinerary page active; creator publishes travel guides,present,"pass — no consumer travel-planning, coaching/mentoring, or hosted group-trip offers observed on creator site pages reviewed 2026-09-17",include,Individual solo travel creator; dedup-clear,2026-09-17,batch18-topup
18,@bordersofadventure,instagram,Becki Enright,adventure-travel,14.1K,14.1K followers,Feedspot solo female travel blogs list (observed 2026-09-17),https://www.instagram.com/bordersofadventure/,web search + Feedspot list 2026-09-17; creator's own blog (bordersofadventure.com),pass,Becki Enright identified as individual operator (per batch17 research 2026-09-17),pass,"'Travel to Mongolia guide' on bordersofadventure.com — rich three-week day-by-day itinerary ('Last Updated: 69 days ago' ≈ 2026-07-10, accepted per top-up brief)",pass,unknown,pass — Mongolia guide updated ~2026-07-10; Paphos content Sept 2026,present,"pass — no consumer travel-planning, coaching/mentoring, or hosted group-trip offers observed on creator site pages reviewed 2026-09-17; B2B advertising allowed",include,Individual adventure travel creator; dedup-clear,2026-09-17,batch18-topup
18,@carolinerosetravel,instagram,Caroline Rose,solo-travel,18.2K,18.2K followers,Feedspot solo female travel blogs list (observed 2026-09-17),https://www.instagram.com/carolinerosetravel/,web search + Feedspot list 2026-09-17; creator's own blog (carolinerosetravel.com),pass,Caroline Rose identified as solo female traveler ('by a Solo Female Traveler') (per batch17 research 2026-09-17),pass,"'Hiking the Cordillera Huayhuash Trek' on carolinerosetravel.com — detailed 8-day day-by-day trek itinerary (search 'Last Updated: 667 days ago' ≈ 2024-11-19, accepted per top-up brief)",pass,unknown,pass — Huayhuash guide updated ~2024-11-19; homepage shows 2026-03-11 Hanoi article (current publishing),present,"pass — no consumer travel-planning, coaching/mentoring, or hosted group-trip offers observed on creator site pages reviewed 2026-09-17",include,Individual solo female travel creator; dedup-clear,2026-09-17,batch18-topup
18,@malaysiaasia,instagram,David Hogan Jr,regional-travel,14K,14K followers,Feedspot solo female travel blogs list (observed 2026-09-17),https://www.instagram.com/malaysiaasia/,web search + Feedspot list 2026-09-17; creator's own site (malaysia-asia.my),pass,Muck Rack ties recent MalaysiaAsia work to David Hogan Jr; Feedspot identifies @malaysiaasia (14K),pass,'Travel Guide to Bario in Sarawak 2026 Edition' on malaysia-asia.my (2026-03) — structured destination guide,pass,unknown,pass — Bario 2026 Edition guide published 2026-03,present,"pass — no consumer travel-planning, coaching/mentoring, or hosted group-trip offers observed on creator site pages reviewed 2026-09-17",include,Individual Malaysia travel creator; dedup-clear,2026-09-17,batch18-topup
18,@traveldaveuk,instagram,Dave Brett,road-trip-travel,16.8K,16.8K followers,Feedspot male travel Instagram influencers list (observed 2026-09-17),https://www.instagram.com/traveldaveuk/,web search + Feedspot list 2026-09-17,pass,Feedspot identifies Dave Brett (@traveldaveuk); creator's own site traveldave.co.uk identifies Dave Brett as the individual operator,pass,"""Louisiana Road Trip Itinerary"" on traveldave.co.uk — sequential route through five regions (New Orleans → Northshore → Baton Rouge → Lake Charles → Natchitoches, optional Vicksburg extension); trip photos dated 2025 (in-window)",pass,"Same-creator YouTube channel (youtube.com/c/davebrettuk): 351 videos, 1.2M total views (FindAChannel, entry modified 2025-05-20); Keepface search result observed 2026-09-17: 17K IG audience, verified account, 0.47% engagement",pass — blog active with 2025-dated content (Louisiana guide with 2025 photos),present,"pass — individual creator; no consumer travel-planning, coaching/mentoring, or hosted group-trip offers observed on reviewed pages",include,"Individual road-trip travel creator; dedup-clear (not in influencers.csv, batch*.csv, or quarantine.json)",2026-09-17,batch18-topup
18,@mikesroadtrip,instagram,Mike Shubic,road-trip-travel,36K,36K+ Instagram followers,"creator's own press kit (mikesroadtrip.com/press-kit/, fetched 2026-09-17; total social 110K+; YouTube 23K+)",https://www.instagram.com/mikesroadtrip/,web search + Feedspot list 2026-09-17,pass,Own site identifies Mike Shubic as publisher/creator (e.g. 'by Mike of MikesRoadTrip.com'); press kit identifies Mike Shubic behind @mikesroadtrip,pass,"""Phoenix to Colorado Springs Road Trip: 8-Day Southwest Loop"" on mikesroadtrip.com — explicit Day 1-8 structure (Flagstaff, Monument Valley, Bluff, Mesa Verde, Durango, Colorado Springs, Santa Fe, Winslow); image asset paths /2026/05/ indicate May 2026 publication (in-window)",pass,"Same-creator YouTube: 23K+ subscribers; 400+ travel videos generating 2M+ views (own press kit; own video-production page, fetched 2026-09-17)","pass — site publishing 2026 content (Phoenix-Colorado Springs guide, Sonoma-Mendocino guide)",present,"pass — individual creator; no consumer travel-planning, coaching/mentoring, or hosted group-trip offers observed on reviewed pages",include,"Individual road-trip travel creator; dedup-clear (not in influencers.csv, batch*.csv, or quarantine.json)",2026-09-17,batch18-topup
