batch,handle,platform,name,niche,followers_approx,followers_observed,followers_source,profile_url,discovery_source,identity_check,identity_method,content_fit,content_fit_evidence,reach_floor,engagement_observed,activity_check,purchase_intent,exclusions_check,decision,notes,check_date,selector
10,@joansfootprints,tiktok,Joan,Philippines budget travel,49.2K,49.2K,Collabstr TikTok engagement lookup observed 2026-09-17,https://www.tiktok.com/@joansfootprints,web search,pass,Blog joansfootprints.com authored by Joan; TikTok handle matches blog brand; single-individual DIY travel creator,pass,"joansfootprints.com/2025/02/18/bicol-backpacking-catanduanes-albay-sorsogon-ultimate-diy-itinerary-for-first-timers/: 7-day DIY Bicol (Catanduanes/Albay/Sorsogon) itinerary with transport, activities, accommodation and source-stated PHP costs, published 2025-02-18 (within trailing 24 months)",pass,"TikTok video 7411012989035236615 (Taiwan 4-day itinerary): 16,600 plays, 376 likes, 20 comments, 150 shares, 380 saves (tiktok.com/@joansfootprints/video/7411012989035236615, observed 2026-09-17)",pass,unknown,pass,include,Individual creator; DIY budget travel focus; dedup clear 2026-09-17; no exclusions.,2026-09-17,batch10-worker
10,@adell.explores,tiktok,Adell Baker,"UK travel, staycations and hikes",68.4K,68.4K,"TikTok profile observed 2026-09-17 (68,400 followers)",https://www.tiktok.com/@adell.explores,web search,pass,"TikTok profile ""adell | UK Travel + Adventures""; bio email info@adellbaker.com identifies Adell Baker; single-individual UK travel creator",pass,"tiktok.com/@adell.explores/video/7525487843072451478: Yorkshire Dales weekend guide (Landal lodge stay; Aysgarth falls, Bolton Castle, Richmond Castle, Stump Cross Caverns, Druids Temple, Bolton Abbey), published 2025-07-10 (within trailing 24 months)",pass,"130.3K plays, 2,777 likes, 59 comments, 3,291 saves on itinerary video (2026-09-17)",pass,unknown,pass,include,Individual creator; UK travel focus; dedup clear 2026-09-17; no exclusions.,2026-09-17,batch10-coordinator-bank
10,@staysandgetaways,tiktok,Julia,Luxury travel inspiration and unique stays,419.5K,419.5K,"TikTok profile observed 2026-09-17 (419,500 followers)",https://www.tiktok.com/@staysandgetaways,web search,pass,"TikTok profile ""Travel Inspo + Luxury Stays""; bio identifies Julia; single-individual luxury travel creator",pass,"tiktok.com/@staysandgetaways/video/7632773916057947406: 3-day Krakow itinerary (Hotel Saski; Old Town, St Mary's Basilica; Auschwitz; Wawel Castle, Kazimierz), published 2026-04-25 (within trailing 24 months)",pass,"196.6K plays, 7,512 likes on itinerary video (2026-09-17)",pass,unknown,pass,include,Individual creator; luxury travel focus; dedup clear 2026-09-17; no exclusions.,2026-09-17,batch10-coordinator-bank
10,@vivianaaltea,tiktok,Viviana,Travel creator (Italy/Europe),12.1K,12.1K,"TikTok profile observed 2026-09-17 (12,100 followers)",https://www.tiktok.com/@vivianaaltea,web search,pass,"TikTok profile ""Viviana | Travel creator""; single-individual travel creator",pass,"tiktok.com/@vivianaaltea/video/7620505376185650454: Lake Garda Busatte-Tempesta trail guide (10km, 3hrs), published 2026-03-23 (within trailing 24 months)",pass,"21.7K plays, 499 likes on itinerary video (2026-09-17)",pass,unknown,pass,include,"Individual creator; bio mentions a Cyprus guide product (fixed guide, not a personalized service); dedup clear 2026-09-17; no exclusions.",2026-09-17,batch10-coordinator-bank
10,@kim_bulan4,tiktok,Kim Bulan,Bali travel,62.4K,62400,"TikTok profile @kim_bulan4, observed 2026-09-17",https://www.tiktok.com/@kim_bulan4,web discovery 2026-09-17,pass,profile nickname 'Kim Bulan' resolves to named individual,pass,"Creator-owned one-day Ubud route (ATV Adventure, Pemulan Bali Coffee Plantation, Pura Tirta Empul, Food Monkey Legend, Fold), TikTok video 7543998408571243796 published 2025-08-29 (in window)","pass — 62,400 >= 10,000","74,400 plays; 2,363 likes; 115 comments; 1,032 shares; 2,102 saves (creator-owned video metrics, observed 2026-09-17)","pass — profile live 2026-09-17 (3.0M profile likes; 2,480 videos)",present — affiliate discount codes; no planning/hosted-trip/agency service,"pass — affiliate codes only; no consumer trip planning/coaching, hosted group trips, or travel-agency booking identified (observed 2026-09-17)",include,Full 5-venue day-1 item list extracted from creator-owned video; ready for canonical append.,2026-09-17,batch10-topup
10,@vannytelly,tiktok,Vanny Tang,Singapore-based travel (Vietnam),81.8K,81800,"TikTok profile @vannytelly, observed 2026-09-17",https://www.tiktok.com/@vannytelly,web discovery 2026-09-17,pass,"named individual 'Vanny Tang', supported by 8days.sg and MoneySmartGirl references",pass,"Creator-owned complete 6D5N Phu Quoc itinerary, TikTok video 7585058634669903124 published 2025-12-18 (in window)","pass — 81,800 >= 10,000","63,900 plays; 651 likes; 23 comments; 1,554 shares; 982 saves (creator-owned video metrics, observed 2026-09-17)",pass — profile live 2026-09-17 (2.2M profile likes; guide video within window),present — Klook affiliate promo code; no planning/hosted-trip/agency service,"pass — affiliate code only; no consumer trip planning/coaching, hosted group trips, or travel-agency booking identified (observed 2026-09-17)",include,"Latest profile open 2026-09-17 showed 81,800 followers (not 81,900); using 81,800. Full 14-item 6-day item list extracted; ready for canonical append.",2026-09-17,batch10-topup
10,@somay.mekdi,tiktok,Jeje Jaelani,Bandung travel (Indonesia),354.5K,354500,"TikTok profile @somay.mekdi, observed 2026-09-17",https://www.tiktok.com/@somay.mekdi,web discovery 2026-09-17,pass,named individual 'Jeje Jaelani',pass,"Creator-owned standalone one-day Bandung itinerary (self-contained despite 'Part.2' label), TikTok video 7624855363052997908, create_time 1775299989 = 2026-04-04 UTC (in window); five day-1 venues transcribed from the creator-owned video description: BMB Burger, The Deli Bakes Pudak, Sate Pak Hartono, Aksara Hotel, Tahu Priangan","pass — 354,500 >= 10,000","212,000 plays; 6,153 likes; 37 comments; 2,011 shares; 4,307 saves (creator-owned video metrics, observed 2026-09-17)",pass — profile live 2026-09-17 (17.2M profile likes; guide video within window),present — affiliate/product mentions; no planning service,pass — brand/campaign contact email is not consumer trip planning; no hosted trips or agency booking identified (observed 2026-09-17),include,Day-1 venue names extracted from the creator-owned video description 2026-09-17; in-video order not verifiable from text evidence — all recorded as day 1. Ready for canonical append.,2026-09-17,batch10-topup
10,@viajaland,tiktok,Alan Huitron,Peru budget travel,386K,386000,"TikTok profile @viajaland, observed 2026-09-17",https://www.tiktok.com/@viajaland,web discovery 2026-09-17,pass,named individual 'Alan Huitron' (profile nickname 'Viajaland - Alan Huitron'),pass,"Creator-owned complete 3-day Tingo Maria route with per-activity Soles prices, TikTok video 7640281987332279573, create_time 1778891785 = 2026-05-16 UTC (in window)","pass — 386,000 >= 10,000","228,500 plays; 11,100 likes; 153 comments; 3,872 shares; 4,386 saves (creator-owned video metrics, observed 2026-09-17)",pass — profile live 2026-09-17 (5.8M profile likes; 543 videos; guide video within window),"present — named hotel with room prices, named restaurants, transport prices; no affiliate codes observed","pass — TikTok profile bio ('Viajes | Planes | Foodie | Lifestyle / Colaboraciones al DM') shows no consumer trip planning, coaching, hosted group trips, or agency booking (observed 2026-09-17). Profile links beacons.ai/alanhuitron — that link page could not be inspected this session (browser tool failure); parent may confirm it carries no planning/agency offer.",include,Exclusions confirmed on the TikTok profile bio 2026-09-17; beacons link unchecked (browser block). Full 14-item 3-day item list extracted; ready for canonical append.,2026-09-17,batch10-topup
10,@marymatheustraveler,tiktok,Mary,Tennessee/US travel,322.5K,322500,"TikTok profile @marymatheustraveler, observed 2026-09-17",https://www.tiktok.com/@marymatheustraveler,web discovery 2026-09-17,pass,named individual 'Mary'; full surname not conclusively established — canonical name kept as 'Mary',pass,"Creator-owned complete three-day Tennessee itinerary with named venues and source-stated prices, TikTok video 7567550908217773343, create_time 1761957759 = 2025-11-01 UTC (in window); day-by-day items transcribed from the creator-owned video caption","pass — 322,500 >= 10,000","947,000 plays; 37,600 likes; 236 comments; 29,000 shares; 23,439 saves (creator-owned video metrics, observed 2026-09-17)","pass — profile live 2026-09-17 (6.2M profile likes; 1,973 videos; guide video within window)",present — named hotels and attractions with source-stated prices; no planning service observed,"pass — bio promotes travel tips/recommendations/itineraries; no consumer trip planning, coaching, hosted group trips, or agency booking identified (observed 2026-09-17)",include,"Day-1..3 items extracted from the creator-owned caption 2026-09-17; caption carries source-stated prices — exact per-venue figures not transcribed this session, parent may add them. Canonical name is 'Mary' (surname not established). Ready for canonical append.",2026-09-17,batch10-topup
10,@sonhealtoviagens,tiktok,Mariana,Brazil travel (Itacaré),501.9K,501900,"TikTok profile @sonhealtoviagens, observed 2026-09-17",https://www.tiktok.com/@sonhealtoviagens,web discovery 2026-09-17,pass,named individual 'Mariana'; profile nickname 'Mariana | Sonhe Alto Viagens'; first-person singular bio indicates individual account,pass,"Creator-owned complete six-day Itacaré itinerary, TikTok video 7609058815115382034, create_time 1771628400 = 2026-02-20 UTC (in window); day-by-day items transcribed from the creator-owned video caption","pass — 501,900 >= 10,000","16,500 plays; 953 likes; 41 comments; 158 shares; 178 saves (creator-owned video metrics, observed 2026-09-17)",pass — profile live 2026-09-17 (12.5M profile likes; 917 videos; guide video within window),"present — pre-made editorial guide products mentioned ('Meus guias de Paris, Londres e Japão e descontos'); editorial, not prohibited","pass — 'my guides' indicates pre-made editorial products, not 1:1 consumer trip planning/coaching, hosted trips, or agency booking (decision recorded 2026-09-17). Linktree could not be fetched; no contents observed",include,Day-1..6 items extracted from the creator-owned caption 2026-09-17; venue types not verifiable from caption evidence are recorded as 'other'. Ready for canonical append.,2026-09-17,batch10-topup
