name,handle,platform,niche,followers_approx,profile_url,source_urls
Lucy Ruthnum,@absolutelylucy,instagram,solo-travel,15.4K,https://www.instagram.com/absolutelylucy/,https://influencers.feedspot.com/solo_female_travel_instagram_influencers/|https://www.youtube.com/@absolutelylucy|https://absolutelylucy.com/5-day-boston-itinerary/
Sarah Murawski,@sarowly,instagram,travel,43.5K,https://www.instagram.com/sarowly/,https://influencers.feedspot.com/travel_instagram_influencers/|https://sarowly.me/blog/amalficoasttravelguide
Annette White,@bucketlistjourney,instagram,bucket-list-travel,113.9K,https://www.instagram.com/bucketlistjourney/,https://influencers.feedspot.com/female_travel_instagram_influencers/|https://bucketlistjourney.net/media-kit/|https://bucketlistjourney.net/oaxaca-mexico-itinerary/
Marta Correale,@learningescapes,instagram,family-travel,13.9K,https://www.instagram.com/learningescapes/,https://influencers.feedspot.com/family_travel_instagram_influencers/|https://www.learningescapes.net/about-2/|https://www.learningescapes.net/cinque-terre-itinerary-ideas-for-the-first-time-visitor-1-3-days/
Indiana Hannah,@indianahannah_blog,instagram,regional-travel,24.6K,https://www.instagram.com/indianahannah_blog/,https://bloggers.feedspot.com/solo_female_travel_blogs/|https://indianahannahblog.com/2026/06/22/the-coolest-summer-things-to-do-in-indiana/|https://indianahannahblog.com/2026/09/02/50-of-the-best-places-to-visit-in-indiana-during-the-fall/
Heather Cowper,@heatheronhertravels,instagram,solo-travel,16.1K,https://www.instagram.com/heatheronhertravels/,https://bloggers.feedspot.com/solo_female_travel_blogs/|https://www.heatheronhertravels.com/things-to-do-in-piraeus/
Becki Enright,@bordersofadventure,instagram,adventure-travel,14.1K,https://www.instagram.com/bordersofadventure/,https://bloggers.feedspot.com/solo_female_travel_blogs/|https://www.bordersofadventure.com/travel-to-mongolia-guide/
David Hogan Jr,@malaysiaasia,instagram,regional-travel,14K,https://www.instagram.com/malaysiaasia/,https://bloggers.feedspot.com/solo_female_travel_blogs/|https://malaysia-asia.my/2026/03/travel-guide-to-bario-in-sarawak-2026-edition/
Dave Brett,@traveldaveuk,instagram,road-trip-travel,16.8K,https://www.instagram.com/traveldaveuk/,https://influencers.feedspot.com/male_travel_instagram_influencers/|https://traveldave.co.uk/louisiana-road-trip-itinerary/
Mike Shubic,@mikesroadtrip,instagram,road-trip-travel,36K,https://www.instagram.com/mikesroadtrip/,https://influencers.feedspot.com/male_travel_instagram_influencers/|https://mikesroadtrip.com/press-kit/|https://mikesroadtrip.com/phoenix-to-colorado-springs-road-trip-guide/
Alicia Baker,@girlonahike,instagram,hiking,15.5K,https://www.instagram.com/girlonahike/,https://bloggers.feedspot.com/hiking_blogs/?_src=recent_changes_outdoor|https://girlonahike.com/clayton-peak.html|https://www.youtube.com/girlonahike
