name,handle,platform,niche,followers_approx,profile_url,source_urls
Maria,@heyshetravels,tiktok,adventure,unknown,https://www.tiktok.com/@heyshetravels,https://www.ef.nl/blog/language/tiktok-travel-inspo/
Madeline,@lu_madeline,tiktok,family,1.3M,https://www.tiktok.com/@lu_madeline,https://www.ef.nl/blog/language/tiktok-travel-inspo/ | https://www.diarydirectory.com/newsarticle/lefty-reveals-the-top-travel-tiktok-influencers-to-follow-in-2025/65090
Uzma,@uzma.mahbub,tiktok,luxury,unknown,https://www.tiktok.com/@uzma.mahbub,https://www.ef.nl/blog/language/tiktok-travel-inspo/
Marco and Gius,@marcoegius,tiktok,couples,unknown,https://www.tiktok.com/@marcoegius,https://www.ef.nl/blog/language/tiktok-travel-inspo/
Alexa,@limsawkward,tiktok,itineraries,unknown,https://www.tiktok.com/@limsawkward,https://www.ef.nl/blog/language/tiktok-travel-inspo/
Natasha Danielle,@theworldpursuit,tiktok,solo,unknown,https://www.tiktok.com/@theworldpursuit,https://izea.com/resources/tiktok-travel-influencers/amp/
Maz,@wheretofindme,tiktok,itineraries,486.5K,https://www.tiktok.com/@wheretofindme,https://izea.com/resources/tiktok-travel-influencers/amp/ | https://www.diarydirectory.com/newsarticle/lefty-reveals-the-top-travel-tiktok-influencers-to-follow-in-2025/65090
Mikki Tenazas,@mgtenazas,tiktok,luxury,1.5M,https://www.tiktok.com/@mgtenazas,https://izea.com/resources/tiktok-travel-influencers/amp/
Emma Expedition,@emmaexpedition,tiktok,adventure,unknown,https://www.tiktok.com/@emmaexpedition,https://izea.com/resources/tiktok-travel-influencers/amp/
Caroline Foster,@wilderness_addict,tiktok,adventure,unknown,https://www.tiktok.com/@wilderness_addict,https://izea.com/resources/tiktok-travel-influencers/amp/
Gizem,@itsjustgizem,tiktok,adventure,38.2K,https://www.tiktok.com/@itsjustgizem,https://izea.com/resources/tiktok-travel-influencers/amp/
Maddy,@madelinestraveling,tiktok,budget,unknown,https://www.tiktok.com/@madelinestraveling,https://izea.com/resources/tiktok-travel-influencers/amp/
Sara,@sightsofsara,tiktok,solo,1.4M,https://www.tiktok.com/@sightsofsara,https://www.highsocial.com/es/resources/travel-influencer-feed-your-wanderlust/ | https://www.diarydirectory.com/newsarticle/lefty-reveals-the-top-travel-tiktok-influencers-to-follow-in-2025/65090
She Travelled The World,@shetravelledtheworld,tiktok,solo,unknown,https://www.tiktok.com/@shetravelledtheworld,https://www.highsocial.com/es/resources/travel-influencer-feed-your-wanderlust/
Lucy Josephs,@footluce,tiktok,budget,unknown,https://www.tiktok.com/@footluce,https://www.highsocial.com/es/resources/travel-influencer-feed-your-wanderlust/
Abby Vogel,@_abbyvogel,tiktok,budget,unknown,https://www.tiktok.com/@_abbyvogel,https://www.highsocial.com/es/resources/travel-influencer-feed-your-wanderlust/
Claire and Peter,@claireandpeter,tiktok,budget,unknown,https://www.tiktok.com/@claireandpeter,https://www.highsocial.com/es/resources/travel-influencer-feed-your-wanderlust/
Alva Vaz,@alvatheexplorer,tiktok,budget,unknown,https://www.tiktok.com/@alvatheexplorer,https://izea.com/resources/gen-z-travel-influencers/
Nikki Gibson,@nikkionherway,tiktok,itineraries,unknown,https://www.tiktok.com/@nikkionherway,https://izea.com/resources/gen-z-travel-influencers/ | https://www.elitedaily.com/lifestyle/how-to-travel-on-budget-after-college
Savannah,@storyofsavannah,tiktok,adventure,unknown,https://www.tiktok.com/@storyofsavannah,https://izea.com/resources/gen-z-travel-influencers/
Gabby Beckford,@packslight,tiktok,solo,332.2K,https://www.tiktok.com/@packslight,https://izea.com/resources/gen-z-travel-influencers/ | https://www.elitedaily.com/lifestyle/how-to-travel-on-budget-after-college
Jacob Riglin,@jacob,tiktok,adventure,unknown,https://www.tiktok.com/@jacob,https://www.elonedge.com/blog/2022/4/22/travel-tiktokers-you-need-to-follow-right-now
Lindsay Paige Stein,@lindsaypaigestein,tiktok,budget,unknown,https://www.tiktok.com/@lindsaypaigestein,https://www.elitedaily.com/lifestyle/how-to-travel-on-budget-after-college
Marissa Strang,@marissadaily_,tiktok,points-miles,unknown,https://www.tiktok.com/@marissadaily_,https://www.elitedaily.com/lifestyle/how-to-travel-on-budget-after-college
Nina Zadeh,@sidewalkerdaily,tiktok,budget,unknown,https://www.tiktok.com/@sidewalkerdaily,https://www.elitedaily.com/lifestyle/how-to-travel-on-budget-after-college
Erika Kullberg,@erikakullberg,tiktok,points-miles,9.3M,https://www.tiktok.com/@erikakullberg,https://www.afar.com/magazine/9-tiktok-accounts-giving-smart-useful-travel-advice
Rilee J. Smith,@rileejsmith,tiktok,budget,unknown,https://www.tiktok.com/@rileejsmith,https://www.afar.com/magazine/9-tiktok-accounts-giving-smart-useful-travel-advice
Kay Akpan,@themomtrotter,tiktok,family,unknown,https://www.tiktok.com/@themomtrotter,https://www.afar.com/magazine/9-tiktok-accounts-giving-smart-useful-travel-advice
Morgan and Connor,@thenationalparktravelers,tiktok,adventure,unknown,https://www.tiktok.com/@thenationalparktravelers,https://www.afar.com/magazine/9-tiktok-accounts-giving-smart-useful-travel-advice
Max Miles Points,@maxmilespoints,tiktok,points-miles,unknown,https://www.tiktok.com/@maxmilespoints,https://www.afar.com/magazine/9-tiktok-accounts-giving-smart-useful-travel-advice
Travel with Pat,@travelwithpat,tiktok,points-miles,unknown,https://www.tiktok.com/@travelwithpat,https://www.afar.com/magazine/9-tiktok-accounts-giving-smart-useful-travel-advice
