batch,handle,platform,name,niche,followers_approx,followers_observed,followers_source,profile_url,discovery_source,identity_check,identity_method,content_fit,content_fit_evidence,reach_floor,engagement_observed,activity_check,purchase_intent,exclusions_check,decision,notes,check_date,selector
15,@ordinarytraveler,instagram,Christy Woodrow,travel,63.7K,63.7K,https://keepface.com/ordinarytraveler,https://www.instagram.com/ordinarytraveler/,keepface influencer directory,pass,Keepface identifies Christy Woodrow and links @ordinarytraveler; creator about page at ordinarytraveler.com/about,pass,"Keepface exposes a travel post dated 2026-01-27 describing a Windstar French Polynesia package (seven-day cruise plus flights, pre/post-cruise hotels, transfers, three Moorea hotel nights)",pass,0.51% (Keepface),Keepface portfolio shows an Instagram post dated 2026-01-27 with travel content,brand partnership content observed (Windstar post),individual creator; no couple/brand/agency/operator exclusion triggered. Caution: older results describe the blog as Christy & Scott; current account evidence centers Christy.,include,Qualifying publication: 2026-01-27 Instagram post via Keepface (within 2024-09-17 to 2026-09-17 window). Extraction limited to package components named in the post.,2026-09-17,batch15-worker
15,@wanderlustchloe,instagram,Chloe Gunning,travel,26.8K,26.8K,https://socialveins.com/influencer/instagram/wanderlustchloe,https://www.instagram.com/wanderlustchloe/,socialveins influencer directory,pass,Own homepage identifies Chloe Gunning and says Instagram shows her live/current location,pass,"Own site hosts a structured 7-day Calabria itinerary at https://www.wanderlustchloe.com/calabria-itinerary-italy/ (Day 1: Lamezia Terme airport, Pizzo, Tropea, Capo Vaticano, Scilla; Day 2: toward Aspromonte National Park, Pentedattilo, White Gullies of Palizzi)",pass,unknown,Creator homepage crawled 2026-09-16 states Instagram shows where she is in the world; blog posts updated 1-2 days before 2026-09-17 show active publishing,not observed,individual creator; no couple/brand/agency/operator exclusion triggered,include,"Qualifying publication: 7-day Calabria itinerary, within window. Extraction covers day 1-2 detail observed from the creator's page; remainder at source URL.",2026-09-17,batch15-worker
15,@danflyingsolo,instagram,Daniel James Clarke,solo travel,27.6K,27.6K,feedspot influencer directory (observed 2026-09-17),https://www.instagram.com/danflyingsolo/,feedspot influencer directory,pass,Creator identity sources describe Dan James Clarke as the individual behind @danflyingsolo,pass,Own blog hosts a structured 3-4 day Graz itinerary updated 2025-06-01 at https://www.danflyingsolo.com/long-weekend-graz-itinerary/,pass,unknown,"Blog published multiple travel posts in August 2026 (e.g. TAP Portugal stopover guide updated 45 days before 2026-09-17; category page updated 38 days before), indicating active travel publishing; Feedspot lists the Instagram account with 27.6K on 2026-09-17",not observed,individual creator; no couple/brand/agency/operator exclusion triggered,include,Qualifying publication: Graz itinerary updated 2025-06-01 (within window). Extraction is partial: day-level stops not observed in public search results; full day-by-day detail at source URL.,2026-09-17,batch15-worker
15,@thetravelhack,instagram,Monica Stott,travel,59.8K,59.8K,https://socialveins.com/influencer/instagram/thetravelhack,https://www.instagram.com/thetravelhack/,socialveins influencer directory,pass,Collabstr identifies Monica Stott as the creator behind @thetravelhack; creator about page at thetravelhack.com/about/,pass,Own site hosts a timed 1-day Paris itinerary at https://thetravelhack.com/france/1-day-in-paris/,pass,"0% (Socialveins; displayed as 0%, preserved as observed)","Collabstr creator page crawled 2026-09-16 lists Instagram packages, indicating the Instagram account is live and monetized; creator blog author pages current",not observed,individual creator; no couple/brand/agency/operator exclusion triggered,include,Qualifying publication: 1-day Paris itinerary (within window). Extraction is partial: stop-level detail not observed in public search results; full detail at source URL.,2026-09-17,batch15-worker
15,@insidetravellab,instagram,Abigail King,travel,16.8K,16.8K,https://keepface.com/insidetravellab,https://www.instagram.com/insidetravellab/,keepface influencer directory,pass,"Identity sources describe Abigail King, doctor-turned-travel-writer, as the individual behind @insidetravellab",pass,Own site hosts a structured Morocco itinerary at https://www.insidethetravellab.com/morocco-itinerary/,pass,4.48% (Keepface),"Keepface shows a verified account with 16.8K followers, 4.48% engagement, and a portfolio of travel posts",not observed,individual creator; no couple/brand/agency/operator exclusion triggered,include,Qualifying publication: Morocco itinerary (within window). Reach note: Feedspot separately reports 21.8K; Keepface 16.8K used as observed. Extraction is partial: day-level stops not observed in public search results; full detail at source URL.,2026-09-17,batch15-worker
15,@pocketwanderings,instagram,Jessie Moore,luxury travel,133K,133K,feedspot influencer directory (observed 2026-09-17),https://www.instagram.com/pocketwanderings/,feedspot influencer directory,pass,"About page titled 'Luxury Travel Blog by Jessie Moore', written entirely in first-person singular ('I started blogging in 2015'). Her consultancy (pocketdigitalgroup.com) sells digital marketing and content creation services to luxury travel and lifestyle brands only - B2B brand work, which is allowed.",pass,"Own site hosts a structured 3-day Rome itinerary at https://www.pocketwanderings.com/three-day-rome-itinerary/ published 2025-01-01, modified 2026-04-09: Day 1 Colosseum / Roman Forum / Palatine Hill / Capitoline Hill / Castel Sant'Angelo; Day 2 Vatican Museums / Sistine Chapel / St Peter's Basilica / Trastevere; Day 3 Trevi Fountain / Pantheon / Piazza Navona / Galleria Borghese / Villa Borghese Gardens; named restaurants incl. Ristorante Aroma, Osteria da Fortunata, Da Enzo al 29, Pierluigi, Pipero Roma, Felice a Testaccio, Il Goccetto, Terrazza Les Etoiles.",pass,unknown,Itinerary modified 2026-04-09; blog actively publishing in 2025-2026.,unknown,pass,include,"Consultancy is B2B for travel/lifestyle brands (allowed); no consumer-facing planning, itinerary services, coaching, or hosted trips found.",2026-09-17,batch15-topup
15,@araioflight,instagram,Raihaan,travel,68.6K,68.6K,"Keepface influencer profile for @araioflight (page crawled 2026-01-05): 68.6K Instagram audience, 2.12% engagement rate; profile links https://instagram.com/araioflight",https://www.instagram.com/araioflight/,influencer directory (keepface),pass,"Site author pages identify 'Raihaan (araioflight)'; posts sign off 'Your fellow explorer, Raihaan'; own site links Instagram @araioflight. Consistent one-person pseudonym (first name + handle).",pass,"Own site hosts a structured Portland-to-San Francisco road trip itinerary at https://www.araioflight.com/drive-portland-to-san-francisco-road-trip-best-stops/ published and modified 2025-06-17, authored by Raihaan.",pass,2.12% (Keepface),"Homepage shows travel posts dated 2026-07-30, 2026-06-15 and 2026-06-01; active in 2025-2026.",unknown,pass,include,"Reach figure is third-party (Keepface), not creator-stated; Instagram profile itself requires login and was not directly viewed. Site sells custom art commissions (paintings), not travel services. No consumer travel-planning services, coaching, or hosted group trips found.",2026-09-17,batch15-topup
15,@mrsoaroundtheworld,instagram,Ana Silva O'Reilly,luxury travel,18.1K,18.1K,feedspot influencer directory (observed 2026-09-17),https://www.instagram.com/mrsoaroundtheworld/,feedspot influencer directory,pass,About page at https://mrsoaroundtheworld.com/about/ identifies Ana Silva O'Reilly as the individual behind the site and @mrsoaroundtheworld.,pass,"Own site hosts a structured 5-day Piedmont itinerary at https://mrsoaroundtheworld.com/luxury-travel/europe/5-day-piedmont-itinerary-turin-langhe/ published 2026-07-13, modified 2026-07-16: four-night/five-day route Milan Malpensa > Turin (2 nights) > La Morra/Langhe (2 nights) > Milan, with flights, car hire, Turin walking/sightseeing, La Morra, Barolo winery lunch, hotels and an optional Vicolungo outlet stop.",pass,unknown,Itinerary published and modified July 2026; active in 2025-2026.,unknown,pass,include,"Only B2B brand partnerships observed; no consumer-facing planning, itinerary services, coaching, or hosted group trips found.",2026-09-17,batch15-topup
15,@i_am_aileen,instagram,Aileen Adalid,travel,111.5K,111.5K,feedspot influencer directory (observed 2026-09-17),https://www.instagram.com/i_am_aileen/,feedspot influencer directory,pass,About page identifies Aileen Adalid as the single individual behind iamaileen.com; first-person voice; no team or staff language.,pass,"Own site hosts a structured Tokyo itinerary and DIY travel guide at https://iamaileen.com/tokyo-itinerary/ published 2022-10-17, dateModified 2025-06-22 (actual page meta): day/district structure covering Shibuya, Harajuku, Shinjuku, Asakusa, Akihabara, Sumida and more, with transit, hotel, restaurant and activity guidance.",pass,"1.08% (Heepsy; 108.5K followers, recency 2.55 days, 3 posts/week, observed 2026-09-17; https://www.heepsy.com/instagram-profile/i_am_aileen)","Heepsy reports recency 2.55 days and 3 posts/week, indicating active posting",unknown,pass,include,"No trip planning, coaching, or hosted group trips found; affiliate Klook code and B2B brand work only (allowed).",2026-09-17,batch15-topup
15,@theboutiqueadventurer,instagram,Amanda O'Brien,travel,72.5K,72.5K,feedspot influencer directory (observed 2026-09-17),https://www.instagram.com/theboutiqueadventurer/,feedspot influencer directory,pass,Itinerary page identifies Amanda O'Brien as creator and editor; first-person travel voice; on-page bio presents a single individual; no team language.,pass,"Own site hosts a detailed 10-day Scottish Highlands itinerary at https://theboutiqueadventurer.com/ive-spent-years-exploring-scotland-heres-the-10-day-itinerary-i-always-recommend/ published and modified 2026-08-09 (actual page meta): route covers Glasgow, Glen Coe/Fort William, Isle of Skye, Ullapool, Durness, Thurso and Inverness, with hotels, restaurants, transport and activities.",pass,unknown,Itinerary published 2026-08-09; actively publishing in 2025-2026.,unknown,pass,include,"Affiliate disclosure only; no consumer-facing planning, itinerary services, coaching, or hosted group trips found.",2026-09-17,batch15-topup
