batch,handle,platform,name,niche,followers_approx,followers_observed,followers_source,profile_url,discovery_source,identity_check,identity_method,content_fit,content_fit_evidence,reach_floor,engagement_observed,activity_check,purchase_intent,exclusions_check,decision,notes,check_date,selector
5,@gokylahgo,tiktok,Kylah | Travel Creator,budget/micro-trip travel itineraries,52.6K,"52,600 (TikTok profile, 2026-09-16)",TikTok profile page,https://www.tiktok.com/@gokylahgo,web research (TikTok travel-itinerary creators),pass,profile page: display name 'Kylah | Travel Creator' with solo first-person travel content,pass,"4-day Peru itinerary posted 2026-09-14 (Urlebird uploadDate 2026-09-14T23:37:01Z agrees with video ID 7685523563368942862 decode 2026-09-14): Day 1 Lima-Cusco-Sacred Valley; Day 2 Machu Picchu then back to Lima; Day 3 Lima center/food; Day 4 full-day desert excursion (~$100, tour link mentioned)",pass,"itinerary video: 1,533 plays / 161 likes / 20 shares (TikTok page stats, 2026-09-16)",pass (Peru travel video 2026-09-14; within 90 days),present (recommends/links a Machu Picchu day tour),"pass (not in kept/dropped lists; absent from dedup_universe_2026-09-16.txt)",include,"Base not independently established; content frames US/Midwest weekend travel. Lane widened re: North America base.",2026-09-16,batch5-replacement-worker
5,@lisarosanty,tiktok,Lisarosaa | California&Travel,California/US travel guides and itineraries,22.2K,"22,200 (TikTok profile, 2026-09-16)",TikTok profile page,https://www.tiktok.com/@lisarosanty,web research (TikTok travel-itinerary creators),pass,"profile page: Lisa; bio states California and shares practical travel guides",pass,"3-day San Francisco itinerary video posted 2026-01-28 (TikTok createTime 1769567673 and video ID 7600235232914132244 decode 2026-01-28 agree): Day 1 Golden Gate Bridge viewpoints/Palace of Fine Arts/Fisherman's Wharf/Pier 39/Alcatraz or bay cruise; Day 2 cable car/Lombard Street/Chinatown/Ghirardelli Square/Twin Peaks; Day 3 Coit Tower/Ferry Building/Golden Gate Park/Painted Ladies/Mission District/Dolores Park",pass,"itinerary video: 33,600 plays / 1,840 likes / 391 shares (TikTok page stats, 2026-09-16)",pass (posts through 2026-08-27; within 90 days),present (sells downloadable SF travel guide PDF; link in bio),"pass (not in kept/dropped lists; absent from dedup_universe_2026-09-16.txt)",include,Bio states California.,2026-09-16,batch5-replacement-worker
5,@goingwithnicole,tiktok,Going With Nicole,itinerary inspiration / backpacking vlogs,15.0K,"15,000 (TikTok profile, 2026-09-16)",TikTok profile page,https://www.tiktok.com/@goingwithnicole,web research (TikTok travel-itinerary creators),pass,"profile page: Nicole; bio states Minnesota, currently backpacking SE Asia",pass,"3-day San Francisco trip video posted 2024-10-08 (TikTok createTime 1728380262 and video ID 7423336321608944926 decode 2024-10-08 agree); caption states full 3-day plan, day-by-day detail presented in-video. Plus '5+ things to do in Kuching' guide posted 2026-09-16 (video ID 7686211027607866655 decode 2026-09-16).",pass,"SF itinerary video: 202,900 plays / 6,703 likes / 2,241 shares (TikTok page stats, 2026-09-16)",pass (Kuching travel guide 2026-09-16),unknown,"pass (not in kept/dropped lists; absent from dedup_universe_2026-09-16.txt)",include,"Stop-level itinerary detail is in-video, not in caption text; extracted as medium-confidence with no item-level claims. Bio states Minnesota; currently in SE Asia.",2026-09-16,batch5-replacement-worker
5,@epicamerica_,tiktok,Erfan | Epic America,US road-trip / city travel,11.6K,"11,600 (TikTok profile, 2026-09-16)",TikTok profile page,https://www.tiktok.com/@epicamerica_,web research (TikTok travel-itinerary creators),pass,"profile page: Erfan; bio 'USA through my windshield', West Coast living",pass,"5-day Los Angeles itinerary video posted 2026-03-10 (TikTok createTime 1773160856 and video ID 7615667752472169759 decode 2026-03-10 agree): Day 1 Beverly Hills/Melrose; Day 2 Warner Bros/Griffith; Day 3 Hollywood icons; Day 4 DTLA; Day 5 Santa Monica/Venice",pass,"itinerary video: 350,300 plays / 22,700 likes / 4,125 shares (TikTok page stats, 2026-09-16)",pass (LA travel videos 2026-09-16),unknown,"pass (not in kept/dropped lists; absent from dedup_universe_2026-09-16.txt)",include,Bio indicates US West Coast base.,2026-09-16,batch5-replacement-worker
5,@carissamonyce,tiktok,Carissamonyce | Travel Creator,travel creator,193.5K,"193,500 (TikTok profile, 2026-09-16)",TikTok profile page,https://www.tiktok.com/@carissamonyce,web research (TikTok travel-itinerary creators),pass,profile page: Carissa; solo first-person travel creator,pass,"3-day Washington DC spring itinerary posted 2026-05-08 (Urlebird uploadDate 2026-05-08T21:57:59Z agrees with video ID 7637628099324103950 decode 2026-05-08): Day 1 Arlo Hotel/Big Bus tour/Del Frisco's Double Eagle/ART Rooftop; Day 2 Busboys and Poets/NMAAHC + Sweet Home Cafe/City Cruises/Fish Shop; Day 3 Black Broadway walking tour",pass,"itinerary video: 156,800 plays / 18,900 likes / 4,883 shares (TikTok page stats, 2026-09-16)",pass (travel post 2026-09-16),present (sponsored by @visitwashingtondc; hotel/tour tags),"pass (not in kept/dropped lists; absent from dedup_universe_2026-09-16.txt)",include,"Collabstr lists her as Pensacola, Florida.",2026-09-16,batch5-replacement-worker
5,@lilmsawkward,tiktok,Alexa Moore | travel creator,cultural travel / African diaspora experiences,123.5K,"123,500 (TikTok profile, 2026-09-16)",TikTok profile page,https://www.tiktok.com/@lilmsawkward,web research (TikTok travel-itinerary creators),pass,"profile page: Alexa Moore; bio states DC-based travel creator",pass,"African diaspora cultural-experiences guide posted 2026-09-07 (Urlebird uploadDate 2026-09-07T17:03:52Z agrees with video ID 7682824671422647582 decode 2026-09-07): Garifuna Cultural Experience with Palmento Grove at Kalipuna Cultural Heritage Site (Hopkins, Belize); YourTourBrazil in Salvador de Bahia (Brazil); Paletur Minikusuto in San Basilio de Palenque",pass,"guide video: 3,068 plays / 574 likes / 30 shares (TikTok page stats, 2026-09-16)",pass (travel post 2026-09-15),present (hotel/experience tags),"pass (not in kept/dropped lists; absent from dedup_universe_2026-09-16.txt)",include,"Multi-destination guide, not a single day-by-day trip; recorded with days=null. Bio states DC.",2026-09-16,batch5-replacement-worker
5,@callmecandace.tv,tiktok,Call Me Candace,food and travel,691.5K,"691,500 (TikTok profile, 2026-09-16)",TikTok profile page,https://www.tiktok.com/@callmecandace.tv,web research (TikTok travel-itinerary creators),pass,"profile page: Candace; bio food & travel, ATL/Chicago/NYC",pass,"4-day El Salvador itinerary video posted 2025-03-09 (TikTok createTime 1741479347 and video ID 7479596735036181790 decode 2025-03-09 agree): Day 1 ATL-SAL flight/Hotel Finca Campo Bello; Day 2 Cafe Albania; Day 3 El Tazumal/Santa Teresa Hot Springs/Surf City Airbnb; Day 4 Nawi Beach House",pass,"itinerary video: 287,100 plays / 31,800 likes / 5,669 shares (TikTok page stats, 2026-09-16)",pass (account travel-active through 2026-09-07; Maine travel video 2026-08-08),present (Go City pass partner tag),"pass (not in kept/dropped lists; absent from dedup_universe_2026-09-16.txt)",include,"Bio lists ATL, Chicago, NYC.",2026-09-16,batch5-replacement-worker
5,@twirlliketalia,tiktok,Talia | Travel & Lifestyle,travel guides / luxury hotels / food,96.4K,"96,400 (TikTok profile, 2026-09-16)",TikTok profile page,https://www.tiktok.com/@twirlliketalia,web research (TikTok travel-itinerary creators),pass,"profile page: Talia; own caption states San Diego-based travel blogger",pass,"1-day Chicago itinerary video posted 2026-02-02 (TikTok createTime 1770051684 and video ID 7602314024511999249 decode 2026-02-02 agree): Wrigley Building/Riverwalk, Buttercup, Millennium Park, Willis Tower, Pequod's, Hancock Observatory, Navy Pier, Milton Lee Olive Park, Tre Dita",pass,"itinerary video: 28,200 plays / 901 likes / 335 shares (TikTok page stats, 2026-09-16)",pass (Switzerland travel 2026-08-26),present (Go City Chicago Pass partner tag),"pass (not in kept/dropped lists; absent from dedup_universe_2026-09-16.txt)",include,"Own caption states based in San Diego, California.",2026-09-16,batch5-replacement-worker
5,@christian.the.creative,tiktok,christian.the.creative,cinematic travel films / national parks,89.2K,"89,200 (TikTok profile, 2026-09-16)",TikTok profile page,https://www.tiktok.com/@christian.the.creative,web research (TikTok travel-itinerary creators),pass,profile page: Christian; bio states Los Angeles; solo filmmaker,pass,"4-day October Olympic National Park itinerary posted 2026-08-31 (Urlebird uploadDate 2026-08-31T20:01:54Z agrees with video ID 7680272896685575438 decode 2026-08-31): Day 1 Hurricane Ridge; Day 2 Lake Crescent/Marymere Falls/Sol Duc Falls; Day 3 Hoh rainforest trails; Day 4 Rialto Beach/Hole-in-the-Wall/Forks; stay Maitland Manor, Port Angeles",pass,"itinerary video: 2,579 plays / 87 likes / 9 shares (TikTok page stats, 2026-09-16)",pass (Alaska travel video 2026-09-15),unknown,"pass (not in kept/dropped lists; absent from dedup_universe_2026-09-16.txt)",include,Bio states Los Angeles.,2026-09-16,batch5-replacement-worker
5,@skylietravels,tiktok,skylietravels,solo budget travel,70.3K,"70,300 (TikTok profile, 2026-09-16)",TikTok profile page,https://www.tiktok.com/@skylietravels,web research (TikTok travel-itinerary creators),pass,solo first-person travel creator ('I solo travel'),pass,"5-day Scotland itinerary posted 2026-09-15 (Urlebird uploadDate 2026-09-15T21:29:25Z agrees with video ID 7685861774561791263 decode 2026-09-15): Edinburgh to Isle of Skye, under $1,000; day-by-day detail presented in-video",pass,"itinerary video: 1,526 plays / 219 likes / 15 shares (TikTok page stats, 2026-09-16)",pass (Scotland travel video 2026-09-15),unknown,"pass (not in kept/dropped lists; absent from dedup_universe_2026-09-16.txt)",include,"Base not independently established; North America lane widened for this row. Day-by-day detail is in-video; extracted as low-confidence with no item-level claims.",2026-09-16,batch5-replacement-worker
